"Weight","TailLength","Heart","LKidney","RKidney","Spleen","Liver","FatPad"
18.67,85,0.12,0.17,0.16,0.06,0.91,0.28
17.47,93.06,0.11,NA,0.15,0.09,1.05,0.14
32.12,99.63,0.19,0.36,0.35,0.13,2.35,0.79
NA,94.29,0.12,0.2,NA,NA,1.48,0.13
31.19,101.62,0.18,0.39,0.39,NA,1.79,0.63
24.29,81.86,0.11,NA,0.2,0.11,1.31,NA
24.01,87.51,0.16,NA,0.22,0.14,1.43,0.36
23.33,84.2,0.12,0.22,0.19,0.11,1.26,0.34
24.35,85.33,0.12,NA,0.18,0.11,1.33,NA
36.17,98.2,0.19,0.32,0.33,0.12,NA,1.34
NA,94.53,0.17,0.31,0.31,0.08,1.86,0.47
32.72,88.56,0.14,0.33,0.33,0.14,1.97,1.33
37.1,93.97,0.17,NA,0.34,0.1,2.07,1.1
34.32,88.82,0.17,NA,0.32,0.08,1.96,NA
36.09,86.15,0.19,0.41,0.42,0.12,2.44,NA
41.57,91.61,0.24,0.47,0.27,0.09,2.05,0.69
31.03,90.81,0.18,0.3,0.3,0.13,1.93,0.66
NA,90.81,0.18,0.3,0.3,0.13,1.93,0.66
33.89,95.85,0.26,NA,NA,0.12,2.27,0.61
28.15,91.44,0.11,0.27,0.3,0.1,1.97,0.36
28.05,86.32,0.18,0.19,0.22,0.09,1.67,0.65
40.6,89.63,NA,NA,NA,0.12,2.5,1.23
28.23,87.61,0.18,NA,0.24,0.09,1.81,0.61
27.49,86.83,0.17,NA,0.22,0.12,1.75,0.58
27.22,90.18,0.11,NA,0.19,0.12,1.33,0.94
30.7,88.78,0.11,NA,0.21,0.1,1.57,1.46
34.35,96.04,0.23,NA,0.37,0.14,1.85,1
30.52,94.75,0.14,0.25,0.26,0.14,1.8,0.96
NA,104.67,0.25,NA,0.5,0.11,2.22,0.63
47.05,101.92,0.27,NA,0.49,0.18,NA,1.69
NA,95.66,0.12,0.26,0.29,0.14,1.8,0.78
41.46,95.42,0.23,NA,0.47,0.13,2.54,1.4
31.08,95.35,0.13,NA,0.3,0.12,1.6,0.63
32.34,89.62,0.15,0.31,NA,0.09,1.69,1.05
39.89,105.65,0.19,NA,0.48,0.12,2.22,NA
31.56,86.12,0.15,NA,0.37,0.1,1.7,0.6
36.41,86.08,0.15,NA,NA,0.1,1.78,NA
21.74,80.29,0.14,0.21,0.2,0.09,1.33,0.18
25.38,83.44,0.15,NA,0.3,0.06,NA,NA
20.07,77.04,0.12,0.2,0.2,0.1,1.19,0.22
22.58,81.78,0.12,0.19,0.19,0.11,1.46,NA
23,81.96,0.13,0.25,0.22,NA,1.39,0.42
28.98,80.19,0.16,NA,0.35,0.11,1.73,0.46
21.57,76.95,0.16,NA,0.28,0.06,1.33,0.11
21.67,80.09,0.12,NA,0.22,0.14,1.38,0.42
32.28,96.13,0.13,0.22,0.21,NA,1.84,0.69
29.97,89.66,0.15,NA,0.17,0.11,1.49,1.34
27.2,87.72,0.13,0.2,0.22,0.09,1.67,0.84
40.27,98.26,0.17,0.36,0.37,0.11,2.21,1.67
NA,99.74,0.2,0.44,0.41,0.14,3.21,2.12
34.45,92.36,0.18,NA,0.31,0.1,NA,0.78
23.44,84.24,0.1,NA,0.23,0.1,1.21,0.24
29.34,87.67,0.15,NA,0.23,0.11,1.6,0.26
23.73,94.2,0.12,0.22,0.23,0.11,1.46,0.44
37.18,104.42,0.19,0.37,0.38,0.13,2.28,0.89
25.6,90.81,0.09,0.27,0.24,0.1,1.38,NA
26.4,95.97,0.09,0.2,0.15,0.05,1.31,0.52
36.54,97.26,0.22,0.32,0.35,0.11,2.22,1.19
NA,99.81,0.14,0.31,0.34,NA,1.81,0.65
26.66,99.51,0.13,0.22,0.22,0.12,1.44,0.44
22.72,86.01,0.13,0.19,0.18,0.11,1.21,NA
26.5,89.73,0.15,0.26,0.24,0.16,1.8,0.3
22.13,85.88,0.12,NA,0.19,0.07,1.26,0.24
24.19,90.75,0.13,0.17,0.21,0.13,1.53,0.32
28.42,86.49,0.16,0.28,NA,0.18,1.95,0.29
32.52,85.02,0.16,0.34,0.36,0.1,1.9,0.73
27.32,84.08,0.14,0.22,0.23,0.1,1.81,0.29
27.95,96.59,0.15,NA,0.26,0.1,1.66,NA
33.67,NA,0.18,0.4,0.36,0.11,1.73,NA
32.03,98.4,0.13,0.35,0.35,0.1,1.86,0.44
NA,83.77,0.14,0.27,0.34,0.07,1.87,0.37
39.25,93.09,0.23,0.38,0.4,0.14,2.39,NA
35.7,92.17,0.2,0.38,NA,0.12,2.33,0.77
44.92,94.98,0.21,0.39,0.43,0.14,NA,1.64
26.51,83.72,0.14,0.2,0.23,0.13,1.64,0.62
29,86.75,0.17,0.25,NA,0.13,1.72,0.43
22.08,89.2,0.18,NA,0.21,0.1,1.67,0.57
24.54,87.95,0.11,NA,0.23,0.08,1.66,0.5
35.79,93.06,0.16,0.36,0.35,0.09,2.16,1.11
38.8,89.37,NA,NA,0.36,0.13,NA,1.47
35.69,87.23,0.23,0.36,0.37,0.12,2.22,1.12
29.4,82.35,0.1,NA,0.16,NA,1.81,1.33
26.31,82.82,0.12,NA,0.2,NA,1.74,0.56
38.25,86.66,0.24,0.34,0.35,0.1,2.23,NA
25.86,85.34,0.13,NA,0.21,0.14,1.66,0.49
25.78,89.69,0.16,NA,0.21,0.17,1.6,0.48
NA,NA,0.12,0.21,0.21,0.09,1.61,NA
29.99,91.43,0.1,0.19,0.22,0.1,1.79,1.04
23.11,83.56,0.11,NA,0.22,0.09,1.35,0.22
24.49,87.82,0.12,0.2,0.22,0.12,1.39,0.19
33.75,91.28,0.17,0.31,0.33,0.1,1.78,1.13
27.63,87.37,0.18,0.3,0.3,NA,1.68,0.51
32.68,90.73,0.18,0.29,0.29,0.08,1.84,0.76
32.2,94.16,0.17,0.36,0.35,0.09,1.75,0.73
21.41,86.08,0.12,NA,0.18,0.08,0.96,0.24
33.57,92.39,0.18,0.35,0.37,0.09,1.7,0.86
21.51,78.26,0.13,0.18,0.19,0.11,1.45,0.26
25.42,83.5,0.14,0.23,0.27,0.1,1.76,NA
31.96,89.36,0.19,NA,0.27,0.14,3.19,0.09
51.67,93.14,0.18,0.49,NA,0.11,2.64,NA
35.39,96.36,0.24,NA,0.34,0.12,NA,1.41
35.71,89.47,0.25,0.32,0.33,0.12,3.46,0.09
37.01,81.24,0.17,0.22,0.26,0.18,2.72,1.31
28.71,90.21,0.12,NA,0.26,0.12,1.66,NA
27.37,95.36,0.14,NA,0.21,NA,1.42,0.87
29.87,89.99,0.14,NA,0.33,0.12,1.67,NA
30.64,89.28,0.18,0.33,0.3,0.11,1.73,NA
NA,91.05,0.15,NA,0.34,0.14,2.04,0.84
32.56,90.07,0.23,NA,0.37,0.13,1.89,0.35
28.32,89.63,0.11,0.18,NA,0.08,1.6,0.51
31.96,89.3,0.17,NA,0.32,0.1,1.73,NA
22.95,87.69,0.17,NA,0.17,0.15,1.6,NA
22.03,NA,0.11,NA,0.16,0.07,NA,0.46
30.68,85.5,0.17,0.34,0.3,0.09,1.54,0.74
32.13,87.49,0.18,NA,0.26,0.1,1.76,0.98
29.34,86.19,0.2,NA,0.34,0.13,1.77,NA
26.06,85.41,0.16,NA,NA,0.12,1.89,0.68
25.58,NA,0.14,NA,0.22,0.14,1.71,0.6
33.78,86.04,0.17,NA,0.3,0.14,1.96,1.21
31.58,90.08,0.18,NA,0.39,0.12,1.72,0.48
30.98,87.66,0.14,0.19,0.21,0.11,2.02,NA
30.77,84.77,0.14,0.38,0.36,0.12,1.8,1.05
24.6,80.29,0.11,NA,0.21,0.08,1.16,NA
31.22,87.34,0.2,0.39,0.42,0.13,1.78,0.89
26.42,85.51,0.14,0.24,0.25,0.07,1.43,0.74
23.58,82.18,0.18,NA,0.23,0.1,1.49,0.71
19.56,74.64,0.11,0.2,0.2,0.07,1.18,0.6
26.5,81.77,0.14,0.25,0.23,NA,1.8,0.8
32.07,88.97,0.18,NA,0.35,0.08,1.8,0.91
28.85,82.73,0.18,0.27,0.29,0.1,1.8,0.77
NA,NA,0.16,0.26,0.25,0.08,1.54,0.77
33.29,89.41,0.21,NA,0.35,0.1,1.87,1.02
27.87,91.48,0.15,0.29,0.27,0.08,1.42,0.64
28.64,89.24,0.2,NA,0.41,0.11,1.75,0.4
32.43,92.1,0.17,0.37,0.38,0.11,1.95,0.85
27.99,95.42,0.16,NA,0.34,0.09,1.55,0.42
32.46,87.01,0.15,0.31,0.33,0.11,1.64,0.9
NA,87.11,0.14,0.3,0.28,0.08,1.6,0.51
28.97,86.03,0.18,NA,0.28,0.11,1.97,0.78
36.17,90.88,0.17,NA,0.4,0.1,1.9,0.97
27.86,86.14,0.11,0.21,0.22,0.09,1.66,0.79
38.74,NA,0.24,0.3,0.25,0.16,2.29,2.44
29.24,90.4,0.18,0.23,0.2,0.16,1.81,0.79
45.8,89.65,0.21,0.44,0.41,0.11,2.67,1.5
45.19,93.17,0.2,NA,0.31,0.1,NA,1.44
32.97,89.04,0.15,0.31,0.36,0.09,1.82,NA
23.3,94.17,0.17,0.18,0.19,0.1,1.58,0.34
27.7,86.44,0.14,0.19,0.22,0.1,1.78,1.03
34.96,90.78,0.14,0.36,0.37,0.1,2.12,0.87
29.04,92.14,0.18,0.2,0.2,0.1,2.02,1.09
24.3,89.76,0.11,0.2,0.22,0.11,1.78,NA
36.75,93.02,0.2,NA,NA,NA,1.83,1.07
32.22,NA,0.15,NA,0.31,0.09,1.19,1.03
20.93,95.68,0.12,NA,0.18,0.12,0.88,0.61
23.65,85.33,0.1,0.17,0.17,0.08,1.21,0.64
30.84,87.55,0.15,NA,0.29,0.1,1.57,0.66
32.42,94.49,0.14,NA,0.34,NA,1.76,0.84
31.37,93.74,0.17,NA,0.32,0.09,1.6,0.75
25.46,93.13,0.13,0.19,0.19,0.07,1.57,0.77
25.13,88.67,0.14,0.22,0.18,0.09,1.22,NA
25.5,90.93,0.15,0.2,NA,0.12,1.58,0.55
34.08,99.93,0.19,NA,0.34,0.12,1.78,0.8
24.66,94.19,0.15,0.2,0.22,0.1,1.35,0.79
35.3,NA,0.2,0.37,0.38,0.12,1.63,0.63
NA,95.37,0.21,0.39,0.38,0.12,1.76,0.7
26.77,91.18,0.15,NA,0.23,0.12,1.61,0.46
25.25,NA,0.08,NA,0.2,0.1,1.3,0.48
23.9,96.51,0.15,0.22,0.22,0.12,1.32,0.21
32.39,99.83,0.15,NA,NA,0.09,2.08,NA
22.62,87.61,0.09,NA,0.17,0.11,NA,0.19
23.55,92.84,0.13,0.19,0.2,0.1,1.66,0.27
34.6,98.56,0.21,0.43,0.42,0.14,2.2,0.94
27,94.19,0.13,0.19,NA,0.17,1.89,0.37
34.28,104.89,0.21,0.38,0.32,0.14,2.38,NA
30.05,NA,0.18,0.25,NA,0.08,1.75,0.69
21.65,83.43,0.11,0.13,0.16,0.05,1.37,0.11
35.84,96.88,0.2,0.35,0.38,0.14,2.25,0.89
NA,91.73,0.16,0.18,0.19,0.12,1.4,0.41
23.6,91.96,0.14,0.18,0.19,0.07,1.63,1.3
32.2,90.8,0.2,0.26,0.26,0.16,2.41,1.11
24.9,85.49,0.17,0.18,0.24,0.12,1.62,0.43
NA,82.69,0.14,NA,0.22,0.11,1.39,NA
36.75,90.41,0.16,NA,0.32,0.11,2.27,0.99
29.99,84.64,0.16,NA,0.32,0.1,2.03,0.59
NA,84.72,0.16,NA,0.22,0.12,1.98,0.53
22.08,80.51,0.14,NA,0.18,0.1,1.49,0.27
23.8,84.98,0.14,0.22,0.22,0.08,1.63,0.32
33.04,86.49,0.16,NA,0.23,NA,2.19,1.67
23.81,87.59,NA,0.18,0.18,0.1,1.32,0.39
46.32,93.38,0.19,NA,0.41,0.13,NA,2.18
42.78,89.56,0.17,NA,0.41,0.15,2.67,1.21
31.35,91.63,NA,0.21,0.19,0.13,1.88,1.36
30.11,83.29,0.17,NA,0.22,0.12,NA,1.29
44.35,98.28,0.26,NA,0.34,0.11,2.33,1.56
36.36,92.32,0.17,NA,0.24,0.12,NA,2.02
41.65,94.78,0.21,NA,0.42,0.1,2.36,1.75
43.36,92.43,0.17,NA,0.34,0.1,2.04,2.25
28.73,91.87,0.11,NA,0.27,0.14,1.94,0.67
25.73,84.87,0.13,NA,0.21,0.09,NA,0.76
27.94,95.1,0.13,0.2,0.19,0.09,1.72,0.6
24.2,NA,0.12,NA,0.19,0.09,1.53,0.44
20.21,84.14,0.1,NA,0.16,0.09,1.18,0.32
38.41,94.14,0.15,NA,0.34,0.11,2.1,1.32
28.9,89.18,0.17,0.21,0.24,0.08,1.68,NA
28.98,88.34,0.16,NA,NA,0.09,1.78,0.82
22.44,88.22,0.11,NA,0.15,NA,1.13,0.51
31.61,NA,0.13,0.31,0.27,0.09,1.56,0.87
44.46,92.26,0.19,0.36,0.36,0.13,2.47,NA
31.05,87.65,0.19,NA,NA,0.12,1.77,0.39
24.66,86.63,0.14,0.22,0.19,0.09,1.27,NA
22.94,80.06,0.16,NA,0.24,NA,1.54,0.1
32.63,93.8,0.2,NA,0.37,0.13,1.71,0.65
33.97,91.74,0.14,0.27,0.31,0.09,2.09,0.72
39.79,96.98,0.22,0.37,0.41,0.15,2.44,0.87
38.37,97.38,0.19,NA,0.35,0.14,2.25,0.78
39.21,89.86,0.23,0.35,0.37,0.12,2.38,1.2
38.8,92.55,0.25,0.49,NA,NA,2.51,1.01
38.37,90.79,0.19,NA,0.39,0.1,2.38,1.55
32.55,81.58,NA,NA,0.22,0.09,1.63,1.61
34.14,93.83,0.16,NA,0.3,0.1,2.26,0.86
25.2,84.32,0.16,NA,0.2,0.14,1.58,0.43
21.9,84.7,0.1,0.17,0.18,0.09,1.21,0.31
37.5,90.94,0.18,NA,0.37,0.08,NA,1.28
24.1,83.22,0.12,0.16,0.16,0.11,1.43,NA
NA,84.8,0.14,0.17,0.18,0.12,1.83,NA
31.37,92.75,0.14,0.26,0.26,0.1,1.78,NA
35.28,93.87,0.17,0.3,0.3,0.11,2.41,0.9
32.71,95.73,0.15,NA,0.27,0.09,1.64,0.88
27.3,87.64,NA,NA,0.19,0.1,1.69,0.37
30.11,91.05,0.15,NA,0.26,0.08,1.89,0.71
NA,85.81,0.18,NA,0.22,0.12,1.77,0.24
27.42,88.8,0.12,NA,0.18,0.08,1.77,0.9
29.15,89.95,0.11,0.22,0.18,NA,1.64,1.05
NA,95.61,0.08,NA,0.25,0.17,2,1.02
24.72,93.71,0.11,NA,NA,0.1,1.54,NA
25.18,90.47,0.17,0.21,0.19,0.11,1.18,0.52
37.52,97.48,0.25,NA,0.4,0.13,2.31,0.87
24.25,91.32,0.11,0.18,0.15,0.1,1.29,0.46
32.21,89.99,0.17,NA,NA,0.15,2.19,NA
37.56,91.32,0.22,NA,0.37,0.1,2.17,0.81
31.92,NA,0.2,NA,0.24,0.12,NA,NA
28.86,81.91,0.16,NA,0.29,0.14,2.18,0.62
NA,75.01,0.11,NA,0.21,0.11,1.59,0.17
NA,79.33,0.14,NA,0.24,0.12,1.71,0.26
27.32,85.18,0.13,0.2,0.23,0.12,1.89,0.52
25,78,0.14,NA,0.28,0.08,1.81,0.38
36.32,82.31,0.18,0.4,NA,0.13,2.06,0.97
32.54,78.75,0.17,0.41,0.36,0.11,1.62,0.96
14.63,56.16,0.09,0.1,0.1,0.09,0.52,0.04
23.14,72.92,0.17,NA,0.24,0.1,1.27,NA
31.74,73.4,0.17,NA,0.33,0.12,1.75,0.91
27.15,71.39,0.16,0.28,0.27,0.16,1.54,0.946
26.6,77.45,0.14,0.24,0.23,0.16,1.57,0.912
24.14,73.8,0.14,NA,0.2,0.09,1.47,0.64
30.71,78.12,0.17,NA,0.32,0.1,1.84,0.46
39.65,91.93,0.22,NA,0.41,0.12,2.33,1.33
32.77,86.96,0.16,0.29,0.34,0.09,1.91,0.76
28.37,88.29,0.19,NA,NA,0.12,1.72,0.49
26.39,84.75,0.15,NA,0.22,0.1,1.66,NA
26.05,85.86,0.13,NA,0.17,0.09,1.43,0.7
29,90.19,0.16,NA,0.22,0.14,1.93,0.77
24.8,89.07,0.14,0.2,0.2,0.1,1.76,NA
31.67,91,0.18,0.35,0.36,0.12,1.97,0.63
36.88,86.95,0.17,0.42,0.39,0.09,2.28,1.53
27.73,88.15,0.15,0.21,0.23,0.1,2.07,0.8
34.79,91.74,0.2,0.36,0.36,0.11,2.32,0.7
25,89,0.16,NA,0.2,0.12,1.8,NA
37.61,92.4,0.17,NA,0.41,0.13,2.43,1.17
23.72,85.12,0.17,0.2,0.2,NA,1.62,0.47
23.9,87.67,0.14,NA,0.18,0.11,1.37,0.51
33.62,91.78,0.14,NA,0.41,0.1,2.32,0.67
28.37,87.86,0.15,0.29,0.32,0.09,1.77,0.79
30.2,93.7,0.17,NA,0.33,0.1,1.64,0.74
32.68,91.87,0.17,0.31,0.32,0.09,1.06,0.82
29.76,89.65,0.14,0.22,0.18,0.13,1.87,1.21
25.07,87.66,0.09,0.18,0.15,0.1,1.5,0.69
32.18,93.28,NA,NA,0.25,0.12,2.12,NA
25.98,89.24,0.12,0.19,0.21,NA,1.73,0.53
25.08,NA,0.09,NA,0.18,0.11,1.57,0.51
38.2,92.05,0.2,NA,0.35,0.12,2.44,1.23
37.08,NA,0.17,0.37,0.33,0.12,2.21,NA
NA,88.55,0.14,NA,0.25,0.07,1.58,NA
29.63,75.61,0.13,NA,0.22,0.11,1.87,NA
30.87,80.16,0.18,0.32,NA,0.1,2.19,0.33
33.54,90.89,0.25,0.34,0.36,NA,2.41,0.56
34.3,77.76,0.2,NA,0.33,0.12,2.28,1.16
26.34,81.1,0.14,0.26,0.2,0.1,1.56,NA
43.62,81.92,0.2,0.39,0.41,0.14,2.22,1.8
36.03,83.72,0.14,NA,0.26,0.17,1.89,2.56
34.36,NA,0.17,0.26,0.26,0.14,1.92,2.5
34.4,82.58,0.17,0.41,0.43,0.07,2.2,0.7
31.19,83.02,0.14,NA,0.21,0.11,1.82,1.65
44.45,81.91,0.2,0.41,0.44,0.17,2.36,2.54
42.69,87.76,0.19,0.38,0.39,0.08,NA,1.67
25.79,83.08,0.16,0.23,NA,0.13,1.98,0.29
28.49,84.37,NA,0.25,0.27,0.13,2.11,0.74
24.32,85.7,0.18,NA,0.19,0.08,1.63,0.68
25.44,82.94,0.19,0.22,0.24,0.13,1.8,0.31
31.04,89.06,0.22,0.36,0.38,0.1,2.01,0.6
27.84,88.76,0.13,0.21,0.22,0.08,1.42,0.9
NA,84.82,0.09,NA,0.19,0.09,1.47,0.73
39.63,97.67,0.2,0.4,0.43,0.1,2.19,1.66
27.72,91.47,0.19,NA,0.21,0.11,1.63,0.74
24.77,80.72,0.1,0.2,NA,0.08,1.45,0.43
33.26,90.09,0.19,NA,0.4,0.1,2.28,NA
25.58,83.46,0.19,0.2,0.24,0.09,NA,0.51
29.86,89.36,0.18,NA,0.29,0.09,NA,0.66
28.35,90.88,0.1,0.21,0.21,0.1,1.78,0.68
28.58,87.9,0.17,NA,0.29,0.07,1.91,0.55
32.25,86.7,0.15,NA,0.32,0.1,1.86,1.05
24.06,87.61,0.12,NA,0.22,0.1,1.47,0.54
31.96,91.39,NA,0.32,0.31,0.08,1.95,1.07
28.67,95.77,0.16,NA,0.25,0.14,1.86,0.75
28.54,95.56,0.15,0.25,0.23,0.1,NA,0.66
25.84,94.32,0.12,NA,0.22,0.13,1.83,0.24
27.8,92.23,0.14,0.23,0.24,0.11,2.14,NA
27.37,91.8,0.12,NA,0.22,0.15,2.2,0.24
29.83,97.95,0.16,0.23,0.29,0.08,1.96,0.78
NA,91.61,0.14,0.2,0.2,0.13,1.98,0.17
30.67,NA,0.15,0.28,0.32,0.09,2.07,NA
30.04,102,0.18,0.27,0.31,0.14,2.16,0.59
28.75,101.28,0.17,0.35,0.34,0.09,2.18,0.42
23.88,87.1,0.13,NA,0.21,NA,1.87,0.22
23.78,92.73,0.12,0.18,0.15,0.11,1.77,0.42
28.57,98.92,0.14,0.29,0.3,0.1,1.83,0.42
29.87,97.03,0.14,0.21,0.2,0.15,2.37,0.55
23.79,89.49,0.09,0.18,0.18,0.09,1.59,0.47
